	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
NielsenHB_2014_in_ESP-UC	-9.197329414682567	3.4082620538279107	0.007951911274975815	90	-15.877523040185272|-2.5171357891798625	59	68	39.220338983050844	30.36764705882353	20.57484707327081	17.0758725655655
NielsenHB_2014_in_ESP-CD	-32.70466597633117	6.292093019293316	2.0644277207576255e-06	67	-45.03716829414607|-20.37216365851627	59	13	39.220338983050844	6.0	20.57484707327081	5.32049737408941
QinJ_2012_in_CHN-T2D	-1.6413497200464744	2.0444241599914883	0.42263186311600864	87	-5.648421073629791|2.3657216335368427	173	169	26.86127167630058	23.86390532544379	16.212225195255687	17.55631173651953
QinN_2014_in_CHN-cirrhosis	-12.611577558956249	2.1052476505244306	7.911446156504415e-09	85	-16.737862953984134|-8.485292163928364	114	123	35.31578947368421	21.024390243902438	17.78493142467072	12.182530084606556
RubelMA_2020_in_CMR-STH	-3.766720613049995	1.8013304627092221	0.03816320965922546	82	-7.29732831996007|-0.23611290613991986	82	77	44.73170731707317	40.22077922077922	12.171587046536285	10.053911013408774
ThomasAM_2018a_in_ITA-CRC	-1.3798251443969316	4.788843127073306	0.7745676828559829	31	-10.76595767346061|8.006307384666746	22	28	26.59090909090909	21.535714285714285	14.584110565671653	18.55586573192489
ThomasAM_2018b_in_ITA-CRC	7.156601814198966	4.80559295348979	0.14235547409055685	58	-2.2623603746410215|16.575564003038956	27	31	33.55555555555556	40.29032258064516	16.04699887329423	18.10577086471656
VogtmannE_2016_in_USA-CRC	-13.034357602259313	4.21078198965896	0.0025753195461710506	84	-21.28749030199087|-4.781224902527752	52	49	42.69230769230769	30.183673469387756	22.070288469707293	20.20777125659047
WirbelJ_2018_in_DEU-CRC	-8.532444184316212	3.3482492530550085	0.012086185463155754	96	-15.095012720304029|-1.9698756483283955	65	60	44.84615384615385	38.36666666666667	18.303619456465448	17.028375012183506
XieH_2016_in_GBR-migraine	-7.55140637066598	2.807997333667185	0.007704975784576629	100	-13.055081144653663|-2.0477315966782976	177	49	51.728813559322035	44.204081632653065	17.662079627961393	17.2437265632825
XieH_2016_in_GBR-asthma	-10.8686712215776	3.9037734283844197	0.005892769941886503	99	-18.52006714121106|-3.217275301944137	177	23	51.728813559322035	41.130434782608695	17.662079627961393	21.527140297219727
XuQ_2021_in_CHN-T2D	-17.02447319528479	3.126439488573199	1.2641010124460578e-07	87	-23.15229459288826|-10.896651797681322	217	31	31.898617511520737	16.258064516129032	16.798585850243118	11.951427885904122
YachidaS_2019_in_JPN-CRC	-0.4536103729279255	1.2561640178995828	0.7181706283803659	90	-2.9156918480111074|2.008471102155257	250	258	19.016	18.7015503875969	14.561035128039489	13.996403106579908
YuJ_2015_in_CHN-CRC	-8.562961713885253	3.230900878909311	0.00910717238549543	71	-14.895527436547503|-2.230395991223003	54	73	35.907407407407405	27.356164383561644	18.42127244420561	16.201953089618037
ZellerG_2014_in_FRA-CRC	-5.514650823101567	4.155575647967087	0.18737114424022813	90	-13.659579093117058|2.630277446913924	59	51	42.355932203389834	35.86274509803921	20.486260556495516	20.56745917166635
ZhangX_2015_in_CHN-RA	-3.4588681739810037	2.936694193912579	0.24036111009957023	90	-9.214788794049658|2.297052446087651	93	100	43.18279569892473	42.0	19.16198422648071	18.714165757521762
ZhuF_2020_in_CHN-schizophrenia	0.010092272870567576	2.802585045164698	0.9971312077576957	81	-5.48297441565224|5.503158961393375	81	86	34.18518518518518	33.674418604651166	17.528890516615252	17.83936192705067
iMSMS_2022_in_USA-MS	-0.7946752424007781	0.6650074358366749	0.2326080737926293	58	-2.0980898166406607|0.5087393318391047	277	277	9.978339350180505	9.115523465703971	7.213072277655021	7.362286385836039
HeQ_2017_in_CHN-CD	-23.93300825836735	3.1343710796968858	2.8691900428327965e-11	40	-30.076375574573248|-17.789640942161455	44	47	31.386363636363637	4.638297872340425	15.086441699105057	7.495886905964947
YeZ_2018_in_CHN-BD	-1.3815402606026248	4.045234663392756	0.7339031973737038	42	-9.310200200852426|6.547119679647176	45	20	25.755555555555556	24.7	14.410113046908805	13.656866404852908
ZhouC_2020_in_CHN-AS	-4.927002433709225	4.383731936944576	0.263875284711213	65	-13.519117030120594|3.665112162702144	22	78	36.04545454545455	31.076923076923077	18.50178682458749	17.139524894508234
iMSMS_2022_in_GBR-MS	-1.4649985882383691	1.1027249488395685	0.18518290384081004	52	-3.6263394879639232|0.696342311487185	131	131	13.099236641221374	11.67175572519084	8.259026948426833	8.292775065771098
iMSMS_2022_in_ESP-MS	0.15556532792508915	1.8682353669842129	0.9338658889216311	25	-3.506175991363968|3.817306647214146	39	39	11.948717948717949	11.58974358974359	7.132262265439429	7.451442636842294
GuptaA_2019_in_IND-CRC	-8.439990930348337	2.537323091787999	0.0015725653351329595	23	-13.413144190252815|-3.4668376704438586	30	30	16.666666666666668	12.366666666666667	8.730533902472528	7.382336275792975
iMSMS_2022_in_ARG-MS	-0.6165430837538217	0.8480543440020795	0.46789263883649335	34	-2.2787295979978976|1.045643430490254	129	129	8.589147286821705	8.054263565891473	7.121985180853094	5.971911095460431
SankaranarayananK_2015_in_USA-T2D	0.2871904428166567	5.391165176668855	0.9578475077495608	21	-10.279493303454299|10.853874189087612	18	19	22.22222222222222	19.473684210526315	16.22945044443573	13.104311950260902
HanniganGD_2017_in_USA-CRC	-3.704511118695857	3.2789459828756495	0.264687488882786	11	-10.13124524513213|2.722223007740416	25	24	15.8	10.375	11.801694793545543	8.148683431491659
